	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Callithrix-jacchus	Pongo-abelii	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Papio-anubis	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Carlito-syrichta	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Microcebus-murinus	Cebus-imitator	Rhinopithecus-bieti	Piliocolobus-tephrosceles	Theropithecus-gelada	Hylobates-moloch	Sapajus-apella	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Gorilla-gorilla	0.004016064257028162	0.0053547523427041055	0.009370816599732268	0.018741633199464536	0.012048192771084376	0.009370816599732268	0.05087014725568939	0.004016064257028162	0.009370816599732268	0.02008032128514059	0.0	0.009370816599732268	0.010709504685408322	0.06961178045515393	0.010709504685408322	0.009370816599732268	0.012048192771084376	0.012048192771084376	0.01338688085676043	0.016064257028112428	0.045515394912985285	0.04016064257028118	0.01740294511378848	0.012048192771084376	0.012048192771084376	0.009370816599732268	0.010709504685408322	0.016064257028112428	0.01338688085676043	0.04149933065595712	0.009370816599732268	0.05756358768406966	0.010709504685408322	0.010709504685408322	0.04149933065595712
Macaca-fascicularis	0.008032128514056214	0.012048192771084376	0.0	0.014725568942436373	0.016064257028112428	0.01338688085676043	0.04685408299866134	0.010709504685408322	0.0	0.018741633199464536	0.009370816599732268	0.0	0.0013386880856760541	0.06559571619812588	0.004016064257028162	0.0	0.0026773761713521083	0.0026773761713521083	0.004016064257028162	0.014725568942436373	0.04283801874163318	0.03748326639892907	0.016064257028112428	0.0053547523427041055	0.0026773761713521083	0.0	0.014725568942436373	0.014725568942436373	0.004016064257028162	0.03748326639892907	0.0	0.0535475234270415	0.014725568942436373	0.014725568942436373	0.03748326639892907
Chlorocebus-sabaeus	0.009370816599732268	0.01338688085676043	0.0013386880856760541	0.016064257028112428	0.014725568942436373	0.014725568942436373	0.048192771084337394	0.012048192771084376	0.0013386880856760541	0.01740294511378848	0.010709504685408322	0.0013386880856760541	0.0	0.06425702811244982	0.0053547523427041055	0.0013386880856760541	0.004016064257028162	0.004016064257028162	0.0053547523427041055	0.016064257028112428	0.04149933065595712	0.03614457831325302	0.01740294511378848	0.00669344042838016	0.004016064257028162	0.0013386880856760541	0.016064257028112428	0.016064257028112428	0.0053547523427041055	0.03614457831325302	0.0013386880856760541	0.05488621151271755	0.01338688085676043	0.016064257028112428	0.03614457831325302
Carlito-syrichta	0.07095046854082998	0.07362784471218209	0.06559571619812588	0.06961178045515393	0.07362784471218209	0.07362784471218209	0.07095046854082998	0.07095046854082998	0.06559571619812588	0.06693440428380193	0.06961178045515393	0.06559571619812588	0.06425702811244982	0.0	0.06693440428380193	0.06559571619812588	0.06827309236947787	0.06827309236947787	0.06961178045515393	0.06961178045515393	0.07095046854082998	0.06693440428380193	0.06827309236947787	0.06827309236947787	0.06827309236947787	0.06559571619812588	0.07228915662650603	0.06693440428380193	0.06961178045515393	0.06827309236947787	0.06559571619812588	0.07362784471218209	0.07228915662650603	0.07496653279785814	0.06559571619812588
Rhinopithecus-roxellana	0.009370816599732268	0.01338688085676043	0.004016064257028162	0.016064257028112428	0.01740294511378848	0.014725568942436373	0.048192771084337394	0.012048192771084376	0.004016064257028162	0.02008032128514059	0.010709504685408322	0.004016064257028162	0.0053547523427041055	0.06693440428380193	0.0	0.004016064257028162	0.004016064257028162	0.00669344042838016	0.008032128514056214	0.016064257028112428	0.04417670682730923	0.038821954484605126	0.01740294511378848	0.0013386880856760541	0.004016064257028162	0.004016064257028162	0.016064257028112428	0.016064257028112428	0.0053547523427041055	0.038821954484605126	0.004016064257028162	0.05488621151271755	0.016064257028112428	0.016064257028112428	0.038821954484605126
Macaca-nemestrina	0.008032128514056214	0.012048192771084376	0.0	0.014725568942436373	0.016064257028112428	0.01338688085676043	0.04685408299866134	0.010709504685408322	0.0	0.018741633199464536	0.009370816599732268	0.0	0.0013386880856760541	0.06559571619812588	0.004016064257028162	0.0	0.0026773761713521083	0.0026773761713521083	0.004016064257028162	0.014725568942436373	0.04283801874163318	0.03748326639892907	0.016064257028112428	0.0053547523427041055	0.0026773761713521083	0.0	0.014725568942436373	0.014725568942436373	0.004016064257028162	0.03748326639892907	0.0	0.0535475234270415	0.014725568942436373	0.014725568942436373	0.03748326639892907
Colobus-angolensis	0.010709504685408322	0.014725568942436373	0.0026773761713521083	0.01740294511378848	0.018741633199464536	0.016064257028112428	0.04953145917001334	0.01338688085676043	0.0026773761713521083	0.021419009370816644	0.012048192771084376	0.0026773761713521083	0.004016064257028162	0.06827309236947787	0.004016064257028162	0.0026773761713521083	0.0	0.0053547523427041055	0.00669344042838016	0.01740294511378848	0.045515394912985285	0.04016064257028118	0.018741633199464536	0.0053547523427041055	0.0	0.0026773761713521083	0.01740294511378848	0.01740294511378848	0.004016064257028162	0.04016064257028118	0.0026773761713521083	0.05622489959839361	0.01740294511378848	0.01740294511378848	0.04016064257028118
Mandrillus-leucophaeus	0.010709504685408322	0.014725568942436373	0.0026773761713521083	0.014725568942436373	0.016064257028112428	0.01338688085676043	0.048192771084337394	0.01338688085676043	0.0026773761713521083	0.018741633199464536	0.012048192771084376	0.0026773761713521083	0.004016064257028162	0.06827309236947787	0.00669344042838016	0.0026773761713521083	0.0053547523427041055	0.0	0.0013386880856760541	0.014725568942436373	0.045515394912985285	0.04016064257028118	0.016064257028112428	0.008032128514056214	0.0053547523427041055	0.0026773761713521083	0.014725568942436373	0.014725568942436373	0.00669344042838016	0.04016064257028118	0.0026773761713521083	0.05488621151271755	0.014725568942436373	0.014725568942436373	0.04016064257028118
Cercocebus-atys	0.012048192771084376	0.016064257028112428	0.004016064257028162	0.016064257028112428	0.01740294511378848	0.014725568942436373	0.04953145917001334	0.014725568942436373	0.004016064257028162	0.02008032128514059	0.01338688085676043	0.004016064257028162	0.0053547523427041055	0.06961178045515393	0.008032128514056214	0.004016064257028162	0.00669344042838016	0.0013386880856760541	0.0	0.016064257028112428	0.04685408299866134	0.04149933065595712	0.01740294511378848	0.009370816599732268	0.00669344042838016	0.004016064257028162	0.016064257028112428	0.016064257028112428	0.008032128514056214	0.04149933065595712	0.004016064257028162	0.05622489959839361	0.016064257028112428	0.016064257028112428	0.04149933065595712
Aotus-nancymaae	0.014725568942436373	0.018741633199464536	0.014725568942436373	0.012048192771084376	0.02008032128514059	0.01740294511378848	0.04685408299866134	0.014725568942436373	0.014725568942436373	0.010709504685408322	0.016064257028112428	0.014725568942436373	0.016064257028112428	0.06961178045515393	0.016064257028112428	0.014725568942436373	0.01740294511378848	0.014725568942436373	0.016064257028112428	0.0	0.04685408299866134	0.04149933065595712	0.010709504685408322	0.01740294511378848	0.01740294511378848	0.014725568942436373	0.018741633199464536	0.009370816599732268	0.018741633199464536	0.04417670682730923	0.014725568942436373	0.05087014725568939	0.018741633199464536	0.018741633199464536	0.04149933065595712
Propithecus-coquereli	0.048192771084337394	0.048192771084337394	0.04283801874163318	0.04953145917001334	0.048192771084337394	0.048192771084337394	0.03614457831325302	0.045515394912985285	0.04283801874163318	0.045515394912985285	0.045515394912985285	0.04283801874163318	0.04149933065595712	0.07095046854082998	0.04417670682730923	0.04283801874163318	0.045515394912985285	0.045515394912985285	0.04685408299866134	0.04685408299866134	0.0	0.012048192771084376	0.048192771084337394	0.045515394912985285	0.045515394912985285	0.04283801874163318	0.04685408299866134	0.04685408299866134	0.045515394912985285	0.02008032128514059	0.04283801874163318	0.03748326639892907	0.04685408299866134	0.04953145917001334	0.022757697456492587
Microcebus-murinus	0.04283801874163318	0.04283801874163318	0.03748326639892907	0.04685408299866134	0.04283801874163318	0.04283801874163318	0.032128514056224855	0.04016064257028118	0.03748326639892907	0.04016064257028118	0.04016064257028118	0.03748326639892907	0.03614457831325302	0.06693440428380193	0.038821954484605126	0.03748326639892907	0.04016064257028118	0.04016064257028118	0.04149933065595712	0.04149933065595712	0.012048192771084376	0.0	0.04283801874163318	0.04016064257028118	0.04016064257028118	0.03748326639892907	0.04417670682730923	0.04149933065595712	0.04016064257028118	0.010709504685408322	0.03748326639892907	0.03346720214190091	0.04149933065595712	0.04417670682730923	0.01338688085676043
Cebus-imitator	0.016064257028112428	0.02008032128514059	0.016064257028112428	0.012048192771084376	0.016064257028112428	0.016064257028112428	0.04417670682730923	0.016064257028112428	0.016064257028112428	0.008032128514056214	0.01740294511378848	0.016064257028112428	0.01740294511378848	0.06827309236947787	0.01740294511378848	0.016064257028112428	0.018741633199464536	0.016064257028112428	0.01740294511378848	0.010709504685408322	0.048192771084337394	0.04283801874163318	0.0	0.018741633199464536	0.018741633199464536	0.016064257028112428	0.01740294511378848	0.0013386880856760541	0.02008032128514059	0.04417670682730923	0.016064257028112428	0.05087014725568939	0.01740294511378848	0.01740294511378848	0.04149933065595712
Rhinopithecus-bieti	0.010709504685408322	0.014725568942436373	0.0053547523427041055	0.01740294511378848	0.018741633199464536	0.016064257028112428	0.04953145917001334	0.01338688085676043	0.0053547523427041055	0.021419009370816644	0.012048192771084376	0.0053547523427041055	0.00669344042838016	0.06827309236947787	0.0013386880856760541	0.0053547523427041055	0.0053547523427041055	0.008032128514056214	0.009370816599732268	0.01740294511378848	0.045515394912985285	0.04016064257028118	0.018741633199464536	0.0	0.0053547523427041055	0.0053547523427041055	0.01740294511378848	0.01740294511378848	0.00669344042838016	0.04016064257028118	0.0053547523427041055	0.05622489959839361	0.01740294511378848	0.01740294511378848	0.04016064257028118
Piliocolobus-tephrosceles	0.010709504685408322	0.014725568942436373	0.0026773761713521083	0.01740294511378848	0.018741633199464536	0.016064257028112428	0.04953145917001334	0.01338688085676043	0.0026773761713521083	0.021419009370816644	0.012048192771084376	0.0026773761713521083	0.004016064257028162	0.06827309236947787	0.004016064257028162	0.0026773761713521083	0.0	0.0053547523427041055	0.00669344042838016	0.01740294511378848	0.045515394912985285	0.04016064257028118	0.018741633199464536	0.0053547523427041055	0.0	0.0026773761713521083	0.01740294511378848	0.01740294511378848	0.004016064257028162	0.04016064257028118	0.0026773761713521083	0.05622489959839361	0.01740294511378848	0.01740294511378848	0.04016064257028118
Theropithecus-gelada	0.008032128514056214	0.012048192771084376	0.0	0.014725568942436373	0.016064257028112428	0.01338688085676043	0.04685408299866134	0.010709504685408322	0.0	0.018741633199464536	0.009370816599732268	0.0	0.0013386880856760541	0.06559571619812588	0.004016064257028162	0.0	0.0026773761713521083	0.0026773761713521083	0.004016064257028162	0.014725568942436373	0.04283801874163318	0.03748326639892907	0.016064257028112428	0.0053547523427041055	0.0026773761713521083	0.0	0.014725568942436373	0.014725568942436373	0.004016064257028162	0.03748326639892907	0.0	0.0535475234270415	0.014725568942436373	0.014725568942436373	0.03748326639892907
Hylobates-moloch	0.012048192771084376	0.01338688085676043	0.014725568942436373	0.021419009370816644	0.009370816599732268	0.0013386880856760541	0.05087014725568939	0.012048192771084376	0.014725568942436373	0.02008032128514059	0.010709504685408322	0.014725568942436373	0.016064257028112428	0.07228915662650603	0.016064257028112428	0.014725568942436373	0.01740294511378848	0.014725568942436373	0.016064257028112428	0.018741633199464536	0.04685408299866134	0.04417670682730923	0.01740294511378848	0.01740294511378848	0.01740294511378848	0.014725568942436373	0.0	0.016064257028112428	0.018741633199464536	0.04417670682730923	0.014725568942436373	0.05488621151271755	0.008032128514056214	0.0026773761713521083	0.04417670682730923
Sapajus-apella	0.014725568942436373	0.018741633199464536	0.014725568942436373	0.010709504685408322	0.01740294511378848	0.014725568942436373	0.04283801874163318	0.014725568942436373	0.014725568942436373	0.00669344042838016	0.016064257028112428	0.014725568942436373	0.016064257028112428	0.06693440428380193	0.016064257028112428	0.014725568942436373	0.01740294511378848	0.014725568942436373	0.016064257028112428	0.009370816599732268	0.04685408299866134	0.04149933065595712	0.0013386880856760541	0.01740294511378848	0.01740294511378848	0.014725568942436373	0.016064257028112428	0.0	0.018741633199464536	0.04417670682730923	0.014725568942436373	0.04953145917001334	0.016064257028112428	0.016064257028112428	0.04149933065595712
Trachypithecus-francoisi	0.012048192771084376	0.016064257028112428	0.004016064257028162	0.018741633199464536	0.02008032128514059	0.01740294511378848	0.04953145917001334	0.014725568942436373	0.004016064257028162	0.022757697456492587	0.01338688085676043	0.004016064257028162	0.0053547523427041055	0.06961178045515393	0.0053547523427041055	0.004016064257028162	0.004016064257028162	0.00669344042838016	0.008032128514056214	0.018741633199464536	0.045515394912985285	0.04016064257028118	0.02008032128514059	0.00669344042838016	0.004016064257028162	0.004016064257028162	0.018741633199464536	0.018741633199464536	0.0	0.04016064257028118	0.004016064257028162	0.05622489959839361	0.018741633199464536	0.018741633199464536	0.04016064257028118
Lemur-catta	0.04283801874163318	0.04283801874163318	0.03748326639892907	0.04685408299866134	0.04149933065595712	0.04283801874163318	0.03614457831325302	0.04283801874163318	0.03748326639892907	0.04283801874163318	0.04149933065595712	0.03748326639892907	0.03614457831325302	0.06827309236947787	0.038821954484605126	0.03748326639892907	0.04016064257028118	0.04016064257028118	0.04149933065595712	0.04417670682730923	0.02008032128514059	0.010709504685408322	0.04417670682730923	0.04016064257028118	0.04016064257028118	0.03748326639892907	0.04417670682730923	0.04417670682730923	0.04016064257028118	0.0	0.03748326639892907	0.038821954484605126	0.04149933065595712	0.04417670682730923	0.0053547523427041055
Macaca-thibetana	0.008032128514056214	0.012048192771084376	0.0	0.014725568942436373	0.016064257028112428	0.01338688085676043	0.04685408299866134	0.010709504685408322	0.0	0.018741633199464536	0.009370816599732268	0.0	0.0013386880856760541	0.06559571619812588	0.004016064257028162	0.0	0.0026773761713521083	0.0026773761713521083	0.004016064257028162	0.014725568942436373	0.04283801874163318	0.03748326639892907	0.016064257028112428	0.0053547523427041055	0.0026773761713521083	0.0	0.014725568942436373	0.014725568942436373	0.004016064257028162	0.03748326639892907	0.0	0.0535475234270415	0.014725568942436373	0.014725568942436373	0.03748326639892907
Nycticebus-coucang	0.05622489959839361	0.05622489959839361	0.0535475234270415	0.05488621151271755	0.06157965194109771	0.05622489959839361	0.014725568942436373	0.0535475234270415	0.0535475234270415	0.05087014725568939	0.05756358768406966	0.0535475234270415	0.05488621151271755	0.07362784471218209	0.05488621151271755	0.0535475234270415	0.05622489959839361	0.05488621151271755	0.05622489959839361	0.05087014725568939	0.03748326639892907	0.03346720214190091	0.05087014725568939	0.05622489959839361	0.05622489959839361	0.0535475234270415	0.05488621151271755	0.04953145917001334	0.05622489959839361	0.038821954484605126	0.0535475234270415	0.0	0.06024096385542166	0.05756358768406966	0.03614457831325302
Pongo-pygmaeus	0.012048192771084376	0.01338688085676043	0.014725568942436373	0.021419009370816644	0.0013386880856760541	0.00669344042838016	0.0535475234270415	0.012048192771084376	0.014725568942436373	0.01740294511378848	0.010709504685408322	0.014725568942436373	0.01338688085676043	0.07228915662650603	0.016064257028112428	0.014725568942436373	0.01740294511378848	0.014725568942436373	0.016064257028112428	0.018741633199464536	0.04685408299866134	0.04149933065595712	0.01740294511378848	0.01740294511378848	0.01740294511378848	0.014725568942436373	0.008032128514056214	0.016064257028112428	0.018741633199464536	0.04149933065595712	0.014725568942436373	0.06024096385542166	0.0	0.008032128514056214	0.04149933065595712
Symphalangus-syndactylus	0.012048192771084376	0.01338688085676043	0.014725568942436373	0.021419009370816644	0.009370816599732268	0.0013386880856760541	0.05087014725568939	0.012048192771084376	0.014725568942436373	0.02008032128514059	0.010709504685408322	0.014725568942436373	0.016064257028112428	0.07496653279785814	0.016064257028112428	0.014725568942436373	0.01740294511378848	0.014725568942436373	0.016064257028112428	0.018741633199464536	0.04953145917001334	0.04417670682730923	0.01740294511378848	0.01740294511378848	0.01740294511378848	0.014725568942436373	0.0026773761713521083	0.016064257028112428	0.018741633199464536	0.04417670682730923	0.014725568942436373	0.05756358768406966	0.008032128514056214	0.0	0.04417670682730923
Eulemur-rufifrons	0.04283801874163318	0.04283801874163318	0.03748326639892907	0.04417670682730923	0.04149933065595712	0.04283801874163318	0.03614457831325302	0.04016064257028118	0.03748326639892907	0.04016064257028118	0.04149933065595712	0.03748326639892907	0.03614457831325302	0.06559571619812588	0.038821954484605126	0.03748326639892907	0.04016064257028118	0.04016064257028118	0.04149933065595712	0.04149933065595712	0.022757697456492587	0.01338688085676043	0.04149933065595712	0.04016064257028118	0.04016064257028118	0.03748326639892907	0.04417670682730923	0.04149933065595712	0.04016064257028118	0.0053547523427041055	0.03748326639892907	0.03614457831325302	0.04149933065595712	0.04417670682730923	0.0
