	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Pongo-abelii	Callithrix-jacchus	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Papio-anubis	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Carlito-syrichta	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Microcebus-murinus	Cebus-imitator	Rhinopithecus-bieti	Theropithecus-gelada	Hylobates-moloch	Sapajus-apella	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Gorilla-gorilla	0.1921627731725697	0.0045214770158251705	0.1989449886963075	0.022607385079125852	0.056518462697814575	0.02562170308967593	0.0987189148455162	0.013564431047475511	0.038432554634513894	0.08741522230595333	0.0	0.03918613413715144	0.04144687264506408	0.20045214770158248	0.06179351921627729	0.2388847023360965	0.0768651092690279	0.07611152976639035	0.013564431047475511	0.21778447626224562	0.1002260738507913	0.0685757347400151	0.08063300678221552	0.012810851544837965	0.0768651092690279	0.022607385079125852	0.049736247174076875	0.029389600602863553	0.06028636021100231	0.02788244159758857	0.06556141672946492	0.02034664657121321	0.19291635267520724	0.2155237377543331
Macaca-fascicularis	0.17181612660135648	0.03918613413715144	0.1620195930670686	0.027128862094951023	0.02788244159758857	0.029389600602863553	0.09796533534287866	0.027128862094951023	0.0030143180105500766	0.08289374529012816	0.03918613413715144	0.0	0.0067822155237377	0.19969856819894494	0.08289374529012816	0.20346646571213267	0.06782215523737756	0.06254709871891484	0.0301431801055011	0.1921627731725697	0.09042954031650341	0.04822908816880178	0.08515448379804069	0.03391107761868872	0.06330067822155239	0.027128862094951023	0.024114544084400946	0.021853805576488305	0.04898266767143933	0.012810851544837965	0.06480783722682748	0.024868123587038382	0.17106254709871893	0.1906556141672946
Chlorocebus-sabaeus	0.17256970610399402	0.04144687264506408	0.16503391107761867	0.028636021100226117	0.028636021100226117	0.0301431801055011	0.10173323285606628	0.029389600602863553	0.0045214770158251705	0.0836473247927656	0.04144687264506408	0.0067822155237377	0.0	0.20195930670685758	0.08289374529012816	0.20497362471740765	0.0685757347400151	0.06330067822155239	0.030896759608138646	0.19366993217784478	0.09118311981914096	0.05124340617935197	0.08590806330067824	0.03466465712132627	0.06405425772418993	0.02788244159758857	0.024868123587038382	0.022607385079125852	0.05124340617935197	0.015071590052750605	0.06631499623210246	0.026375282592313476	0.17256970610399402	0.19291635267520724
Carlito-syrichta	0.24340617935192166	0.19969856819894494	0.040693293142426534	0.21778447626224562	0.212509419743783	0.22004521477015826	0.2727957799547852	0.18764129615674452	0.19969856819894494	0.2645064054257724	0.20045214770158248	0.19969856819894494	0.20195930670685758	0.0	0.14845516201959308	0.08138658628485307	0.16352675207234368	0.1620195930670686	0.1959306706857573	0.19517709118311977	0.25998492840994725	0.2192916352675207	0.24039186134137147	0.1974378296910324	0.16277317256970614	0.21703089675960818	0.20874152223059528	0.21175584024114547	0.22155237377543335	0.21024868123587037	0.2373775433308214	0.2155237377543331	0.04220045214770163	0.04596834966088925
Rhinopithecus-roxellana	0.212509419743783	0.06179351921627729	0.1439336850037679	0.07912584777694043	0.09721175584024111	0.08063300678221552	0.14619442351168044	0.07083647324792763	0.08063300678221552	0.12660135644310477	0.06179351921627729	0.08289374529012816	0.08289374529012816	0.14845516201959308	0.0	0.1838733986435569	0.02034664657121321	0.02110022607385076	0.05576488319517714	0.16654107008289376	0.1507159005275056	0.11831198191409198	0.12358703843255459	0.05048982667671442	0.021853805576488305	0.07837226827430299	0.09269027882441594	0.06782215523737756	0.11077618688771662	0.07008289374529009	0.11228334589299171	0.0768651092690279	0.14694800301431798	0.16804822908816885
Macaca-nemestrina	0.17483044461190655	0.23963828183873404	0.042954031650339064	0.22682743029389596	0.22381311228334588	0.22833458929917105	0.21477015825169554	0.2275810097965335	0.20271288620949512	0.2758100979653353	0.2388847023360965	0.20346646571213267	0.20497362471740765	0.08138658628485307	0.1838733986435569	0.0	0.16955538809344384	0.16428033157498112	0.2290881688018086	0.1303692539562924	0.20648078372268275	0.24491333835719664	0.28033157498116046	0.23285606631499622	0.16503391107761867	0.22607385079125852	0.2192916352675207	0.21853805576488317	0.24491333835719664	0.21175584024114547	0.2607385079125848	0.22456669178598343	0.051996985681989405	0.07234363225320273
Colobus-angolensis	0.1974378296910324	0.0768651092690279	0.12961567445365485	0.06405425772418993	0.08214016578749062	0.06631499623210246	0.13112283345892994	0.08590806330067824	0.06631499623210246	0.11228334589299171	0.0768651092690279	0.06782215523737756	0.0685757347400151	0.16352675207234368	0.02034664657121321	0.16955538809344384	0.0	0.005275056518462717	0.07159005275056518	0.15146948003014316	0.13564431047475511	0.10173323285606628	0.13941220798794274	0.06932931424265265	0.005275056518462717	0.06405425772418993	0.07837226827430299	0.05501130369253959	0.09570459683496613	0.05576488319517714	0.09796533534287866	0.061039939713639746	0.1318764129615675	0.15297663903541825
Mandrillus-leucophaeus	0.19668425018839486	0.07611152976639035	0.12434061793519213	0.06330067822155239	0.08138658628485307	0.06556141672946492	0.1318764129615675	0.08515448379804069	0.061039939713639746	0.11303692539562926	0.07611152976639035	0.06254709871891484	0.06330067822155239	0.1620195930670686	0.02110022607385076	0.16428033157498112	0.005275056518462717	0.0	0.06631499623210246	0.1522230595327807	0.13564431047475511	0.10248681235870383	0.1386586284853052	0.07008289374529009	0.0007535795026375469	0.06330067822155239	0.07761868877166545	0.05576488319517714	0.09419743782969103	0.05048982667671442	0.09721175584024111	0.06028636021100231	0.13112283345892994	0.15146948003014316
Cercocebus-atys	0.1974378296910324	0.013564431047475511	0.1891484551620196	0.030896759608138646	0.0535041446872645	0.03240391861341374	0.10399397136397892	0.022607385079125852	0.02788244159758857	0.08590806330067824	0.013564431047475511	0.0301431801055011	0.030896759608138646	0.1959306706857573	0.05576488319517714	0.2290881688018086	0.07159005275056518	0.06631499623210246	0.0	0.21778447626224562	0.10776186887716654	0.07460437076111526	0.07912584777694043	0.0067822155237377	0.06706857573474001	0.0301431801055011	0.04822908816880178	0.024868123587038382	0.06631499623210246	0.017332328560663135	0.07083647324792763	0.028636021100226117	0.19668425018839486	0.21703089675960818
Aotus-nancymaae	0.0685757347400151	0.21627731725697064	0.17030896759608138	0.2042200452147701	0.18839487565938207	0.20648078372268275	0.18839487565938207	0.2042200452147701	0.19140919366993214	0.23813112283345894	0.21778447626224562	0.1921627731725697	0.19366993217784478	0.19517709118311977	0.16654107008289376	0.1303692539562924	0.15146948003014316	0.1522230595327807	0.21778447626224562	0.0	0.17859834212509418	0.21477015825169554	0.2426525998492841	0.2155237377543331	0.15297663903541825	0.2042200452147701	0.18085908063300682	0.19969856819894494	0.22004521477015826	0.20195930670685758	0.23436322532027132	0.20195930670685758	0.1657874905802562	0.1823662396382818
Propithecus-coquereli	0.15749811605124342	0.0987189148455162	0.2456669178598342	0.0836473247927656	0.09570459683496613	0.08892238131122832	0.04446119065561416	0.09645817633760356	0.08816880180859077	0.1386586284853052	0.1002260738507913	0.09042954031650341	0.09118311981914096	0.25998492840994725	0.1507159005275056	0.20648078372268275	0.13564431047475511	0.13564431047475511	0.10776186887716654	0.17859834212509418	0.0	0.07083647324792763	0.14996232102486817	0.10625470987189145	0.13639788997739266	0.08741522230595333	0.09042954031650341	0.09269027882441594	0.054257724189902046	0.09193669932177839	0.09193669932177839	0.0836473247927656	0.24189902034664656	0.2223059532780708
Microcebus-murinus	0.1959306706857573	0.06706857573474001	0.2042200452147701	0.05501130369253959	0.05501130369253959	0.05727204220045212	0.09193669932177839	0.05501130369253959	0.0467219291635268	0.10399397136397892	0.0685757347400151	0.04822908816880178	0.05124340617935197	0.2192916352675207	0.11831198191409198	0.24491333835719664	0.10173323285606628	0.10248681235870383	0.07460437076111526	0.21477015825169554	0.07083647324792763	0.0	0.107008289374529	0.07385079125847782	0.10248681235870383	0.0535041446872645	0.047475508666164234	0.06028636021100231	0.03240391861341374	0.058779201205727216	0.058779201205727216	0.05275056518462695	0.20045214770158248	0.18311981914091935
Cebus-imitator	0.24039186134137147	0.07912584777694043	0.24039186134137147	0.09645817633760356	0.08138658628485307	0.09645817633760356	0.15749811605124342	0.06706857573474001	0.08289374529012816	0.03692539562923891	0.08063300678221552	0.08515448379804069	0.08590806330067824	0.24039186134137147	0.12358703843255459	0.28033157498116046	0.13941220798794274	0.1386586284853052	0.07912584777694043	0.2426525998492841	0.14996232102486817	0.107008289374529	0.0	0.07837226827430299	0.13941220798794274	0.09570459683496613	0.06480783722682748	0.09495101733232858	0.11152976639035417	0.09344385832705349	0.12509419743782968	0.09419743782969103	0.2373775433308214	0.25320271288620955
Rhinopithecus-bieti	0.19668425018839486	0.012810851544837965	0.19291635267520724	0.0301431801055011	0.054257724189902046	0.03165033911077619	0.10324039186134137	0.021853805576488305	0.03165033911077619	0.0836473247927656	0.012810851544837965	0.03391107761868872	0.03466465712132627	0.1974378296910324	0.05048982667671442	0.23285606631499622	0.06932931424265265	0.07008289374529009	0.0067822155237377	0.2155237377543331	0.10625470987189145	0.07385079125847782	0.07837226827430299	0.0	0.07083647324792763	0.029389600602863553	0.047475508666164234	0.02110022607385076	0.06631499623210246	0.02110022607385076	0.07008289374529009	0.02788244159758857	0.1959306706857573	0.21703089675960818
Theropithecus-gelada	0.1974378296910324	0.0768651092690279	0.12509419743782968	0.06405425772418993	0.08214016578749062	0.06631499623210246	0.13262999246420493	0.08590806330067824	0.06179351921627729	0.11379050489826681	0.0768651092690279	0.06330067822155239	0.06405425772418993	0.16277317256970614	0.021853805576488305	0.16503391107761867	0.005275056518462717	0.0007535795026375469	0.06706857573474001	0.15297663903541825	0.13639788997739266	0.10248681235870383	0.13941220798794274	0.07083647324792763	0.0	0.06405425772418993	0.07837226827430299	0.056518462697814575	0.09495101733232858	0.05124340617935197	0.09796533534287866	0.061039939713639746	0.1318764129615675	0.1522230595327807
Hylobates-moloch	0.17859834212509418	0.02110022607385076	0.18613413715146943	0.008289374529012794	0.04446119065561416	0.007535795026375247	0.0836473247927656	0.0301431801055011	0.024868123587038382	0.07234363225320273	0.022607385079125852	0.027128862094951023	0.02788244159758857	0.21703089675960818	0.07837226827430299	0.22607385079125852	0.06405425772418993	0.06330067822155239	0.0301431801055011	0.2042200452147701	0.08741522230595333	0.0535041446872645	0.09570459683496613	0.029389600602863553	0.06405425772418993	0.0	0.03466465712132627	0.01582516955538804	0.04898266767143933	0.014318010550113058	0.05124340617935197	0.006028636021100264	0.1770911831198192	0.2042200452147701
Sapajus-apella	0.17935192162773173	0.04822908816880178	0.17935192162773173	0.03541823662396382	0.02034664657121321	0.03692539562923891	0.09947249434815375	0.036171816126601364	0.021853805576488305	0.07008289374529009	0.049736247174076875	0.024114544084400946	0.024868123587038382	0.20874152223059528	0.09269027882441594	0.2192916352675207	0.07837226827430299	0.07761868877166545	0.04822908816880178	0.18085908063300682	0.09042954031650341	0.047475508666164234	0.06480783722682748	0.047475508666164234	0.07837226827430299	0.03466465712132627	0.0	0.03391107761868872	0.051996985681989405	0.03240391861341374	0.06782215523737756	0.03315749811605129	0.17633760361718165	0.19366993217784478
Trachypithecus-francoisi	0.18161266013564437	0.029389600602863553	0.17859834212509418	0.016578749058025588	0.040693293142426534	0.018085908063300682	0.09118311981914096	0.038432554634513894	0.019593067068575776	0.07008289374529009	0.029389600602863553	0.021853805576488305	0.022607385079125852	0.21175584024114547	0.06782215523737756	0.21853805576488317	0.05501130369253959	0.05576488319517714	0.024868123587038382	0.19969856819894494	0.09269027882441594	0.06028636021100231	0.09495101733232858	0.02110022607385076	0.056518462697814575	0.01582516955538804	0.03391107761868872	0.0	0.05124340617935197	0.009042954031650341	0.056518462697814575	0.014318010550113058	0.18010550113036927	0.20120572720422003
Lemur-catta	0.1974378296910324	0.06179351921627729	0.2042200452147701	0.04898266767143933	0.056518462697814575	0.05048982667671442	0.08816880180859077	0.05802562170308967	0.0467219291635268	0.1002260738507913	0.06028636021100231	0.04898266767143933	0.05124340617935197	0.22155237377543335	0.11077618688771662	0.24491333835719664	0.09570459683496613	0.09419743782969103	0.06631499623210246	0.22004521477015826	0.054257724189902046	0.03240391861341374	0.11152976639035417	0.06631499623210246	0.09495101733232858	0.04898266767143933	0.051996985681989405	0.05124340617935197	0.0	0.05048982667671442	0.05576488319517714	0.0467219291635268	0.20346646571213267	0.1823662396382818
Macaca-thibetana	0.18161266013564437	0.02788244159758857	0.17181612660135648	0.015071590052750605	0.03767897513187646	0.016578749058025588	0.08816880180859077	0.03692539562923891	0.012057272042200418	0.07008289374529009	0.02788244159758857	0.012810851544837965	0.015071590052750605	0.21024868123587037	0.07008289374529009	0.21175584024114547	0.05576488319517714	0.05048982667671442	0.017332328560663135	0.20195930670685758	0.09193669932177839	0.058779201205727216	0.09344385832705349	0.02110022607385076	0.05124340617935197	0.014318010550113058	0.03240391861341374	0.009042954031650341	0.05048982667671442	0.0	0.05501130369253959	0.012810851544837965	0.18085908063300682	0.20120572720422003
Nycticebus-coucang	0.2155237377543331	0.06556141672946492	0.22004521477015826	0.05124340617935197	0.07309721175584027	0.0535041446872645	0.06405425772418993	0.07460437076111526	0.06480783722682748	0.10248681235870383	0.06556141672946492	0.06480783722682748	0.06631499623210246	0.2373775433308214	0.11228334589299171	0.2607385079125848	0.09796533534287866	0.09721175584024111	0.07083647324792763	0.23436322532027132	0.09193669932177839	0.058779201205727216	0.12509419743782968	0.07008289374529009	0.09796533534287866	0.05124340617935197	0.06782215523737756	0.056518462697814575	0.05576488319517714	0.05501130369253959	0.0	0.04898266767143933	0.21853805576488317	0.21175584024114547
Pongo-pygmaeus	0.17633760361718165	0.01883948756593823	0.18462697814619444	0.0030143180105500766	0.04220045214770163	0.009042954031650341	0.0836473247927656	0.02788244159758857	0.0233609645817634	0.07083647324792763	0.02034664657121321	0.024868123587038382	0.026375282592313476	0.2155237377543331	0.0768651092690279	0.22456669178598343	0.061039939713639746	0.06028636021100231	0.028636021100226117	0.20195930670685758	0.0836473247927656	0.05275056518462695	0.09419743782969103	0.02788244159758857	0.061039939713639746	0.006028636021100264	0.03315749811605129	0.014318010550113058	0.0467219291635268	0.012810851544837965	0.04898266767143933	0.0	0.17784476262245663	0.20195930670685758
Symphalangus-syndactylus	0.20874152223059528	0.1921627731725697	0.012057272042200418	0.18010550113036927	0.18311981914091935	0.18010550113036927	0.252449133383572	0.18010550113036927	0.17030896759608138	0.23285606631499622	0.19291635267520724	0.17106254709871893	0.17256970610399402	0.04220045214770163	0.14694800301431798	0.051996985681989405	0.1318764129615675	0.13112283345892994	0.19668425018839486	0.1657874905802562	0.24189902034664656	0.20045214770158248	0.2373775433308214	0.1959306706857573	0.1318764129615675	0.1770911831198192	0.17633760361718165	0.18010550113036927	0.20346646571213267	0.18085908063300682	0.21853805576488317	0.17784476262245663	0.0	0.028636021100226117
Eulemur-rufifrons	0.23210248681235868	0.21627731725697064	0.03165033911077619	0.2042200452147701	0.20120572720422003	0.2057272042200452	0.2441597588545592	0.2042200452147701	0.1891484551620196	0.24792765636774683	0.2155237377543331	0.1906556141672946	0.19291635267520724	0.04596834966088925	0.16804822908816885	0.07234363225320273	0.15297663903541825	0.15146948003014316	0.21703089675960818	0.1823662396382818	0.2223059532780708	0.18311981914091935	0.25320271288620955	0.21703089675960818	0.1522230595327807	0.2042200452147701	0.19366993217784478	0.20120572720422003	0.1823662396382818	0.20120572720422003	0.21175584024114547	0.20195930670685758	0.028636021100226117	0.0
