	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Callithrix-jacchus	Pongo-abelii	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Papio-anubis	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Carlito-syrichta	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Microcebus-murinus	Cebus-imitator	Rhinopithecus-bieti	Piliocolobus-tephrosceles	Theropithecus-gelada	Hylobates-moloch	Sapajus-apella	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Gorilla-gorilla	0.0040322580645161255	0.0040322580645161255	0.009408602150537626	0.017473118279569877	0.012096774193548376	0.009408602150537626	0.04973118279569888	0.0040322580645161255	0.009408602150537626	0.018817204301075252	0.0	0.009408602150537626	0.010752688172043001	0.06854838709677424	0.010752688172043001	0.009408602150537626	0.012096774193548376	0.012096774193548376	0.013440860215053752	0.013440860215053752	0.045698924731182755	0.040322580645161255	0.016129032258064502	0.012096774193548376	0.012096774193548376	0.009408602150537626	0.010752688172043001	0.014784946236559127	0.013440860215053752	0.04166666666666663	0.009408602150537626	0.056451612903225756	0.010752688172043001	0.010752688172043001	0.04166666666666663
Macaca-fascicularis	0.008064516129032251	0.010752688172043001	0.0	0.013440860215053752	0.016129032258064502	0.013440860215053752	0.045698924731182755	0.010752688172043001	0.0	0.017473118279569877	0.009408602150537626	0.0	0.0013440860215053752	0.06451612903225812	0.0040322580645161255	0.0	0.0026881720430107503	0.0026881720430107503	0.0040322580645161255	0.012096774193548376	0.043010752688172005	0.037634408602150504	0.014784946236559127	0.005376344086021501	0.0026881720430107503	0.0	0.014784946236559127	0.013440860215053752	0.0040322580645161255	0.037634408602150504	0.0	0.05241935483870963	0.014784946236559127	0.014784946236559127	0.037634408602150504
Chlorocebus-sabaeus	0.009408602150537626	0.012096774193548376	0.0013440860215053752	0.014784946236559127	0.014784946236559127	0.014784946236559127	0.04704301075268813	0.012096774193548376	0.0013440860215053752	0.016129032258064502	0.010752688172043001	0.0013440860215053752	0.0	0.06317204301075274	0.005376344086021501	0.0013440860215053752	0.0040322580645161255	0.0040322580645161255	0.005376344086021501	0.013440860215053752	0.04166666666666663	0.03629032258064513	0.016129032258064502	0.006720430107526876	0.0040322580645161255	0.0013440860215053752	0.016129032258064502	0.014784946236559127	0.005376344086021501	0.03629032258064513	0.0013440860215053752	0.053763440860215006	0.013440860215053752	0.016129032258064502	0.03629032258064513
Carlito-syrichta	0.06989247311827962	0.071236559139785	0.06451612903225812	0.06989247311827962	0.07258064516129037	0.07258064516129037	0.071236559139785	0.06989247311827962	0.06451612903225812	0.06720430107526887	0.06854838709677424	0.06451612903225812	0.06317204301075274	0.0	0.0658602150537635	0.06451612903225812	0.06720430107526887	0.06720430107526887	0.06854838709677424	0.06720430107526887	0.06989247311827962	0.0658602150537635	0.06854838709677424	0.06720430107526887	0.06720430107526887	0.06451612903225812	0.071236559139785	0.06720430107526887	0.06854838709677424	0.06720430107526887	0.06451612903225812	0.07392473118279574	0.071236559139785	0.07392473118279574	0.06451612903225812
Rhinopithecus-roxellana	0.009408602150537626	0.012096774193548376	0.0040322580645161255	0.014784946236559127	0.017473118279569877	0.014784946236559127	0.04704301075268813	0.012096774193548376	0.0040322580645161255	0.018817204301075252	0.010752688172043001	0.0040322580645161255	0.005376344086021501	0.0658602150537635	0.0	0.0040322580645161255	0.0040322580645161255	0.006720430107526876	0.008064516129032251	0.013440860215053752	0.04435483870967738	0.03897849462365588	0.016129032258064502	0.0013440860215053752	0.0040322580645161255	0.0040322580645161255	0.016129032258064502	0.014784946236559127	0.005376344086021501	0.03897849462365588	0.0040322580645161255	0.053763440860215006	0.016129032258064502	0.016129032258064502	0.03897849462365588
Macaca-nemestrina	0.008064516129032251	0.010752688172043001	0.0	0.013440860215053752	0.016129032258064502	0.013440860215053752	0.045698924731182755	0.010752688172043001	0.0	0.017473118279569877	0.009408602150537626	0.0	0.0013440860215053752	0.06451612903225812	0.0040322580645161255	0.0	0.0026881720430107503	0.0026881720430107503	0.0040322580645161255	0.012096774193548376	0.043010752688172005	0.037634408602150504	0.014784946236559127	0.005376344086021501	0.0026881720430107503	0.0	0.014784946236559127	0.013440860215053752	0.0040322580645161255	0.037634408602150504	0.0	0.05241935483870963	0.014784946236559127	0.014784946236559127	0.037634408602150504
Colobus-angolensis	0.010752688172043001	0.013440860215053752	0.0026881720430107503	0.016129032258064502	0.018817204301075252	0.016129032258064502	0.048387096774193505	0.013440860215053752	0.0026881720430107503	0.020161290322580627	0.012096774193548376	0.0026881720430107503	0.0040322580645161255	0.06720430107526887	0.0040322580645161255	0.0026881720430107503	0.0	0.005376344086021501	0.006720430107526876	0.014784946236559127	0.045698924731182755	0.040322580645161255	0.017473118279569877	0.005376344086021501	0.0	0.0026881720430107503	0.017473118279569877	0.016129032258064502	0.0040322580645161255	0.040322580645161255	0.0026881720430107503	0.05510752688172038	0.017473118279569877	0.017473118279569877	0.040322580645161255
Mandrillus-leucophaeus	0.010752688172043001	0.013440860215053752	0.0026881720430107503	0.013440860215053752	0.016129032258064502	0.013440860215053752	0.04704301075268813	0.013440860215053752	0.0026881720430107503	0.017473118279569877	0.012096774193548376	0.0026881720430107503	0.0040322580645161255	0.06720430107526887	0.006720430107526876	0.0026881720430107503	0.005376344086021501	0.0	0.0013440860215053752	0.012096774193548376	0.045698924731182755	0.040322580645161255	0.014784946236559127	0.008064516129032251	0.005376344086021501	0.0026881720430107503	0.014784946236559127	0.013440860215053752	0.006720430107526876	0.040322580645161255	0.0026881720430107503	0.053763440860215006	0.014784946236559127	0.014784946236559127	0.040322580645161255
Cercocebus-atys	0.012096774193548376	0.014784946236559127	0.0040322580645161255	0.014784946236559127	0.017473118279569877	0.014784946236559127	0.048387096774193505	0.014784946236559127	0.0040322580645161255	0.018817204301075252	0.013440860215053752	0.0040322580645161255	0.005376344086021501	0.06854838709677424	0.008064516129032251	0.0040322580645161255	0.006720430107526876	0.0013440860215053752	0.0	0.013440860215053752	0.04704301075268813	0.04166666666666663	0.016129032258064502	0.009408602150537626	0.006720430107526876	0.0040322580645161255	0.016129032258064502	0.014784946236559127	0.008064516129032251	0.04166666666666663	0.0040322580645161255	0.05510752688172038	0.016129032258064502	0.016129032258064502	0.04166666666666663
Aotus-nancymaae	0.012096774193548376	0.014784946236559127	0.012096774193548376	0.009408602150537626	0.017473118279569877	0.014784946236559127	0.04435483870967738	0.012096774193548376	0.012096774193548376	0.008064516129032251	0.013440860215053752	0.012096774193548376	0.013440860215053752	0.06720430107526887	0.013440860215053752	0.012096774193548376	0.014784946236559127	0.012096774193548376	0.013440860215053752	0.0	0.04435483870967738	0.03897849462365588	0.008064516129032251	0.014784946236559127	0.014784946236559127	0.012096774193548376	0.016129032258064502	0.006720430107526876	0.016129032258064502	0.04166666666666663	0.012096774193548376	0.048387096774193505	0.016129032258064502	0.016129032258064502	0.03897849462365588
